CBSA Title	County/County Equivalent	State Name
Knoxville, TN	Blount County	Tennessee
Knoxville, TN	Campbell County	Tennessee
Knoxville, TN	Knox County	Tennessee
Knoxville, TN	Loudon County	Tennessee
Knoxville, TN	Morgan County	Tennessee
Knoxville, TN	Roane County	Tennessee
Knoxville, TN	Union County	Tennessee
Kokomo, IN	Howard County	Indiana
Laconia, NH	Belknap County	New Hampshire
La Crosse-Onalaska, WI-MN	Houston County	Minnesota
La Crosse-Onalaska, WI-MN	La Crosse County	Wisconsin
Lafayette, LA	Acadia Parish	Louisiana
Lafayette, LA	Iberia Parish	Louisiana
Lafayette, LA	Lafayette Parish	Louisiana
Lafayette, LA	St. Martin Parish	Louisiana
Lafayette, LA	Vermilion Parish	Louisiana
Lafayette-West Lafayette, IN	Benton County	Indiana
Lafayette-West Lafayette, IN	Carroll County	Indiana
Lafayette-West Lafayette, IN	Tippecanoe County	Indiana
Lafayette-West Lafayette, IN	Warren County	Indiana
La Grande, OR	Union County	Oregon
LaGrange, GA-AL	Chambers County	Alabama
LaGrange, GA-AL	Troup County	Georgia
Lake Charles, LA	Calcasieu Parish	Louisiana
Lake Charles, LA	Cameron Parish	Louisiana
Lake City, FL	Columbia County	Florida
Lake Havasu City-Kingman, AZ	Mohave County	Arizona
Lakeland-Winter Haven, FL	Polk County	Florida
Lamesa, TX	Dawson County	Texas
Lancaster, PA	Lancaster County	Pennsylvania
Lansing-East Lansing, MI	Clinton County	Michigan
Lansing-East Lansing, MI	Eaton County	Michigan
Lansing-East Lansing, MI	Ingham County	Michigan
Lansing-East Lansing, MI	Shiawassee County	Michigan
Laramie, WY	Albany County	Wyoming
Laredo, TX	Webb County	Texas
Las Cruces, NM	Doña Ana County	New Mexico
Las Vegas, NM	Mora County	New Mexico
Las Vegas, NM	San Miguel County	New Mexico
Las Vegas-Henderson-Paradise, NV	Clark County	Nevada
Laurel, MS	Jasper County	Mississippi
Laurel, MS	Jones County	Mississippi
Laurinburg, NC	Scotland County	North Carolina
Lawrence, KS	Douglas County	Kansas
Lawrenceburg, TN	Lawrence County	Tennessee
Lawton, OK	Comanche County	Oklahoma
Lawton, OK	Cotton County	Oklahoma
Lebanon, MO	Laclede County	Missouri
Lebanon, NH-VT	Grafton County	New Hampshire
Lebanon, NH-VT	Sullivan County	New Hampshire
Lebanon, NH-VT	Orange County	Vermont
Lebanon, NH-VT	Windsor County	Vermont
Lebanon, PA	Lebanon County	Pennsylvania
Levelland, TX	Hockley County	Texas
Lewisburg, PA	Union County	Pennsylvania
Lewisburg, TN	Marshall County	Tennessee
Lewiston, ID-WA	Nez Perce County	Idaho
Lewiston, ID-WA	Asotin County	Washington
Lewiston-Auburn, ME	Androscoggin County	Maine
Lewistown, PA	Mifflin County	Pennsylvania
Lexington, NE	Dawson County	Nebraska
Lexington, NE	Gosper County	Nebraska
Lexington-Fayette, KY	Bourbon County	Kentucky
Lexington-Fayette, KY	Clark County	Kentucky
Lexington-Fayette, KY	Fayette County	Kentucky
Lexington-Fayette, KY	Jessamine County	Kentucky
Lexington-Fayette, KY	Scott County	Kentucky
Lexington-Fayette, KY	Woodford County	Kentucky
Liberal, KS	Seward County	Kansas
Lima, OH	Allen County	Ohio
Lincoln, IL	Logan County	Illinois
Lincoln, NE	Lancaster County	Nebraska
Lincoln, NE	Seward County	Nebraska
Little Rock-North Little Rock-Conway, AR	Faulkner County	Arkansas
Little Rock-North Little Rock-Conway, AR	Grant County	Arkansas
Little Rock-North Little Rock-Conway, AR	Lonoke County	Arkansas
Little Rock-North Little Rock-Conway, AR	Perry County	Arkansas
Little Rock-North Little Rock-Conway, AR	Pulaski County	Arkansas
Little Rock-North Little Rock-Conway, AR	Saline County	Arkansas
Lock Haven, PA	Clinton County	Pennsylvania
Logan, UT-ID	Franklin County	Idaho
Logan, UT-ID	Cache County	Utah
Logansport, IN	Cass County	Indiana
London, KY	Clay County	Kentucky
London, KY	Knox County	Kentucky
London, KY	Laurel County	Kentucky
London, KY	Whitley County	Kentucky
Longview, TX	Gregg County	Texas
Longview, TX	Harrison County	Texas
Longview, TX	Rusk County	Texas
Longview, TX	Upshur County	Texas
Longview, WA	Cowlitz County	Washington
Los Alamos, NM	Los Alamos County	New Mexico
Los Angeles-Long Beach-Anaheim, CA	Orange County	California
Los Angeles-Long Beach-Anaheim, CA	Los Angeles County	California
Louisville/Jefferson County, KY-IN	Clark County	Indiana
Louisville/Jefferson County, KY-IN	Floyd County	Indiana
Louisville/Jefferson County, KY-IN	Harrison County	Indiana
Louisville/Jefferson County, KY-IN	Washington County	Indiana
Louisville/Jefferson County, KY-IN	Bullitt County	Kentucky
Louisville/Jefferson County, KY-IN	Henry County	Kentucky
Louisville/Jefferson County, KY-IN	Jefferson County	Kentucky
Louisville/Jefferson County, KY-IN	Oldham County	Kentucky
Louisville/Jefferson County, KY-IN	Shelby County	Kentucky
Louisville/Jefferson County, KY-IN	Spencer County	Kentucky
Lubbock, TX	Crosby County	Texas
Lubbock, TX	Lubbock County	Texas
Lubbock, TX	Lynn County	Texas
Ludington, MI	Mason County	Michigan
Lufkin, TX	Angelina County	Texas
Lumberton, NC	Robeson County	North Carolina
Lynchburg, VA	Amherst County	Virginia
Lynchburg, VA	Appomattox County	Virginia
Lynchburg, VA	Bedford County	Virginia
Lynchburg, VA	Campbell County	Virginia
Lynchburg, VA	Lynchburg city	Virginia
Macomb, IL	McDonough County	Illinois
Macon-Bibb County, GA	Bibb County	Georgia
Macon-Bibb County, GA	Crawford County	Georgia
Macon-Bibb County, GA	Jones County	Georgia
Macon-Bibb County, GA	Monroe County	Georgia
Macon-Bibb County, GA	Twiggs County	Georgia
Madera, CA	Madera County	California
Madison, IN	Jefferson County	Indiana
Madison, WI	Columbia County	Wisconsin
Madison, WI	Dane County	Wisconsin
Madison, WI	Green County	Wisconsin
Madison, WI	Iowa County	Wisconsin
Madisonville, KY	Hopkins County	Kentucky
Magnolia, AR	Columbia County	Arkansas
Malone, NY	Franklin County	New York
Malvern, AR	Hot Spring County	Arkansas
Manchester-Nashua, NH	Hillsborough County	New Hampshire
Manhattan, KS	Geary County	Kansas
Manhattan, KS	Pottawatomie County	Kansas
Manhattan, KS	Riley County	Kansas
Manitowoc, WI	Manitowoc County	Wisconsin
Mankato, MN	Blue Earth County	Minnesota
Mankato, MN	Nicollet County	Minnesota
Mansfield, OH	Richland County	Ohio
Marietta, OH	Washington County	Ohio
Marinette, WI-MI	Menominee County	Michigan
Marinette, WI-MI	Marinette County	Wisconsin
Marion, IN	Grant County	Indiana
Marion, NC	McDowell County	North Carolina
Marion, OH	Marion County	Ohio
Marquette, MI	Marquette County	Michigan
Marshall, MN	Lyon County	Minnesota
Marshall, MO	Saline County	Missouri
Marshalltown, IA	Marshall County	Iowa
Martin, TN	Weakley County	Tennessee
Martinsville, VA	Henry County	Virginia
Martinsville, VA	Martinsville city	Virginia
Maryville, MO	Nodaway County	Missouri
Mason City, IA	Cerro Gordo County	Iowa
Mason City, IA	Worth County	Iowa
Mayagüez, PR	Hormigueros County	Puerto Rico
Mayagüez, PR	Las Marías County	Puerto Rico
Mayagüez, PR	Mayagüez County	Puerto Rico
Mayfield, KY	Graves County	Kentucky
Maysville, KY	Mason County	Kentucky
McAlester, OK	Pittsburg County	Oklahoma
McAllen-Edinburg-Mission, TX	Hidalgo County	Texas
McComb, MS	Pike County	Mississippi
McMinnville, TN	Warren County	Tennessee
McPherson, KS	McPherson County	Kansas
Meadville, PA	Crawford County	Pennsylvania
Medford, OR	Jackson County	Oregon
Memphis, TN-MS-AR	Crittenden County	Arkansas
Memphis, TN-MS-AR	DeSoto County	Mississippi
Memphis, TN-MS-AR	Marshall County	Mississippi
Memphis, TN-MS-AR	Tate County	Mississippi
Memphis, TN-MS-AR	Tunica County	Mississippi
Memphis, TN-MS-AR	Fayette County	Tennessee
Memphis, TN-MS-AR	Shelby County	Tennessee
Memphis, TN-MS-AR	Tipton County	Tennessee
Menomonie, WI	Dunn County	Wisconsin
Merced, CA	Merced County	California
Meridian, MS	Clarke County	Mississippi
Meridian, MS	Kemper County	Mississippi
Meridian, MS	Lauderdale County	Mississippi
Mexico, MO	Audrain County	Missouri
Miami, OK	Ottawa County	Oklahoma
Miami-Fort Lauderdale-Pompano Beach, FL	Broward County	Florida
Miami-Fort Lauderdale-Pompano Beach, FL	Miami-Dade County	Florida
Miami-Fort Lauderdale-Pompano Beach, FL	Palm Beach County	Florida
Michigan City-La Porte, IN	LaPorte County	Indiana
Middlesborough, KY	Bell County	Kentucky
Midland, MI	Midland County	Michigan
Midland, TX	Martin County	Texas
Midland, TX	Midland County	Texas
Milledgeville, GA	Baldwin County	Georgia
Milledgeville, GA	Hancock County	Georgia
Milwaukee-Waukesha, WI	Milwaukee County	Wisconsin
Milwaukee-Waukesha, WI	Ozaukee County	Wisconsin
Milwaukee-Waukesha, WI	Washington County	Wisconsin
Milwaukee-Waukesha, WI	Waukesha County	Wisconsin
Minden, LA	Webster Parish	Louisiana
Mineral Wells, TX	Palo Pinto County	Texas
Minneapolis-St. Paul-Bloomington, MN-WI	Anoka County	Minnesota
Minneapolis-St. Paul-Bloomington, MN-WI	Carver County	Minnesota
Minneapolis-St. Paul-Bloomington, MN-WI	Chisago County	Minnesota
Minneapolis-St. Paul-Bloomington, MN-WI	Dakota County	Minnesota
Minneapolis-St. Paul-Bloomington, MN-WI	Hennepin County	Minnesota
Minneapolis-St. Paul-Bloomington, MN-WI	Isanti County	Minnesota
Minneapolis-St. Paul-Bloomington, MN-WI	Le Sueur County	Minnesota
Minneapolis-St. Paul-Bloomington, MN-WI	Mille Lacs County	Minnesota
Minneapolis-St. Paul-Bloomington, MN-WI	Ramsey County	Minnesota
Minneapolis-St. Paul-Bloomington, MN-WI	Scott County	Minnesota
Minneapolis-St. Paul-Bloomington, MN-WI	Sherburne County	Minnesota
Minneapolis-St. Paul-Bloomington, MN-WI	Washington County	Minnesota
Minneapolis-St. Paul-Bloomington, MN-WI	Wright County	Minnesota
Minneapolis-St. Paul-Bloomington, MN-WI	Pierce County	Wisconsin
Minneapolis-St. Paul-Bloomington, MN-WI	St. Croix County	Wisconsin
Minot, ND	McHenry County	North Dakota
Minot, ND	Renville County	North Dakota
Minot, ND	Ward County	North Dakota
Missoula, MT	Missoula County	Montana
Mitchell, SD	Davison County	South Dakota
Mitchell, SD	Hanson County	South Dakota
Moberly, MO	Randolph County	Missouri
Mobile, AL	Mobile County	Alabama
Mobile, AL	Washington County	Alabama
Modesto, CA	Stanislaus County	California
Monroe, LA	Morehouse Parish	Louisiana
Monroe, LA	Ouachita Parish	Louisiana
Monroe, LA	Union Parish	Louisiana
Monroe, MI	Monroe County	Michigan
Montgomery, AL	Autauga County	Alabama
Montgomery, AL	Elmore County	Alabama
Montgomery, AL	Lowndes County	Alabama
Montgomery, AL	Montgomery County	Alabama
Montrose, CO	Montrose County	Colorado
Montrose, CO	Ouray County	Colorado
Morehead City, NC	Carteret County	North Carolina
Morgan City, LA	St. Mary Parish	Louisiana
Morgantown, WV	Monongalia County	West Virginia
Morgantown, WV	Preston County	West Virginia
Morristown, TN	Grainger County	Tennessee
Morristown, TN	Hamblen County	Tennessee
Morristown, TN	Jefferson County	Tennessee
Moscow, ID	Latah County	Idaho
Moses Lake, WA	Grant County	Washington
Moultrie, GA	Colquitt County	Georgia
Mountain Home, AR	Baxter County	Arkansas
Mountain Home, ID	Elmore County	Idaho
Mount Airy, NC	Surry County	North Carolina
Mount Gay-Shamrock, WV	Logan County	West Virginia
Mount Pleasant, MI	Isabella County	Michigan
Mount Pleasant, TX	Camp County	Texas
Mount Pleasant, TX	Titus County	Texas
Mount Sterling, KY	Bath County	Kentucky
Mount Sterling, KY	Menifee County	Kentucky
Mount Sterling, KY	Montgomery County	Kentucky
Mount Vernon, IL	Jefferson County	Illinois
Mount Vernon, OH	Knox County	Ohio
Mount Vernon-Anacortes, WA	Skagit County	Washington
Muncie, IN	Delaware County	Indiana
Murray, KY	Calloway County	Kentucky
Muscatine, IA	Muscatine County	Iowa
Muskegon, MI	Muskegon County	Michigan
Muskogee, OK	Muskogee County	Oklahoma
Myrtle Beach-Conway-North Myrtle Beach, SC-NC	Brunswick County	North Carolina
Myrtle Beach-Conway-North Myrtle Beach, SC-NC	Horry County	South Carolina
Nacogdoches, TX	Nacogdoches County	Texas
Napa, CA	Napa County	California
Naples-Marco Island, FL	Collier County	Florida
Nashville-Davidson--Murfreesboro--Franklin, TN	Cannon County	Tennessee
Nashville-Davidson--Murfreesboro--Franklin, TN	Cheatham County	Tennessee
Nashville-Davidson--Murfreesboro--Franklin, TN	Davidson County	Tennessee
Nashville-Davidson--Murfreesboro--Franklin, TN	Dickson County	Tennessee
Nashville-Davidson--Murfreesboro--Franklin, TN	Macon County	Tennessee
Nashville-Davidson--Murfreesboro--Franklin, TN	Maury County	Tennessee
Nashville-Davidson--Murfreesboro--Franklin, TN	Robertson County	Tennessee
Nashville-Davidson--Murfreesboro--Franklin, TN	Rutherford County	Tennessee
Nashville-Davidson--Murfreesboro--Franklin, TN	Smith County	Tennessee
Nashville-Davidson--Murfreesboro--Franklin, TN	Sumner County	Tennessee
Nashville-Davidson--Murfreesboro--Franklin, TN	Trousdale County	Tennessee
Nashville-Davidson--Murfreesboro--Franklin, TN	Williamson County	Tennessee
Nashville-Davidson--Murfreesboro--Franklin, TN	Wilson County	Tennessee
Natchez, MS-LA	Concordia Parish	Louisiana
Natchez, MS-LA	Adams County	Mississippi
Natchitoches, LA	Natchitoches Parish	Louisiana
New Bern, NC	Craven County	North Carolina
New Bern, NC	Jones County	North Carolina
New Bern, NC	Pamlico County	North Carolina
Newberry, SC	Newberry County	South Carolina
New Castle, IN	Henry County	Indiana
New Castle, PA	Lawrence County	Pennsylvania
New Haven-Milford, CT	New Haven County	Connecticut
New Orleans-Metairie, LA	Jefferson Parish	Louisiana
New Orleans-Metairie, LA	Orleans Parish	Louisiana
New Orleans-Metairie, LA	Plaquemines Parish	Louisiana
New Orleans-Metairie, LA	St. Bernard Parish	Louisiana
New Orleans-Metairie, LA	St. Charles Parish	Louisiana
New Orleans-Metairie, LA	St. James Parish	Louisiana
New Orleans-Metairie, LA	St. John the Baptist Parish	Louisiana
New Orleans-Metairie, LA	St. Tammany Parish	Louisiana
New Philadelphia-Dover, OH	Tuscarawas County	Ohio
Newport, OR	Lincoln County	Oregon
Newport, TN	Cocke County	Tennessee
New Ulm, MN	Brown County	Minnesota
New York-Newark-Jersey City, NY-NJ-PA	Nassau County	New York
New York-Newark-Jersey City, NY-NJ-PA	Suffolk County	New York
New York-Newark-Jersey City, NY-NJ-PA	Essex County	New Jersey
New York-Newark-Jersey City, NY-NJ-PA	Hunterdon County	New Jersey
New York-Newark-Jersey City, NY-NJ-PA	Morris County	New Jersey
New York-Newark-Jersey City, NY-NJ-PA	Sussex County	New Jersey
New York-Newark-Jersey City, NY-NJ-PA	Union County	New Jersey
New York-Newark-Jersey City, NY-NJ-PA	Pike County	Pennsylvania
New York-Newark-Jersey City, NY-NJ-PA	Middlesex County	New Jersey
New York-Newark-Jersey City, NY-NJ-PA	Monmouth County	New Jersey
New York-Newark-Jersey City, NY-NJ-PA	Ocean County	New Jersey
New York-Newark-Jersey City, NY-NJ-PA	Somerset County	New Jersey
New York-Newark-Jersey City, NY-NJ-PA	Bergen County	New Jersey
New York-Newark-Jersey City, NY-NJ-PA	Hudson County	New Jersey
New York-Newark-Jersey City, NY-NJ-PA	Passaic County	New Jersey
New York-Newark-Jersey City, NY-NJ-PA	Bronx County	New York
New York-Newark-Jersey City, NY-NJ-PA	Kings County	New York
New York-Newark-Jersey City, NY-NJ-PA	New York County	New York
New York-Newark-Jersey City, NY-NJ-PA	Putnam County	New York
New York-Newark-Jersey City, NY-NJ-PA	Queens County	New York
New York-Newark-Jersey City, NY-NJ-PA	Richmond County	New York
New York-Newark-Jersey City, NY-NJ-PA	Rockland County	New York
New York-Newark-Jersey City, NY-NJ-PA	Westchester County	New York
Niles, MI	Berrien County	Michigan
Nogales, AZ	Santa Cruz County	Arizona
Norfolk, NE	Madison County	Nebraska
Norfolk, NE	Pierce County	Nebraska
Norfolk, NE	Stanton County	Nebraska
North Platte, NE	Lincoln County	Nebraska
North Platte, NE	Logan County	Nebraska
North Platte, NE	McPherson County	Nebraska
North Port-Sarasota-Bradenton, FL	Manatee County	Florida
North Port-Sarasota-Bradenton, FL	Sarasota County	Florida
North Vernon, IN	Jennings County	Indiana
North Wilkesboro, NC	Wilkes County	North Carolina
Norwalk, OH	Huron County	Ohio
Norwich-New London, CT	New London County	Connecticut
Oak Harbor, WA	Island County	Washington
Ocala, FL	Marion County	Florida
Ocean City, NJ	Cape May County	New Jersey
Odessa, TX	Ector County	Texas
Ogden-Clearfield, UT	Box Elder County	Utah
Ogden-Clearfield, UT	Davis County	Utah
Ogden-Clearfield, UT	Morgan County	Utah
Ogden-Clearfield, UT	Weber County	Utah
Ogdensburg-Massena, NY	St. Lawrence County	New York
Oil City, PA	Venango County	Pennsylvania
Okeechobee, FL	Okeechobee County	Florida
Oklahoma City, OK	Canadian County	Oklahoma
Oklahoma City, OK	Cleveland County	Oklahoma
Oklahoma City, OK	Grady County	Oklahoma
Oklahoma City, OK	Lincoln County	Oklahoma
Oklahoma City, OK	Logan County	Oklahoma
Oklahoma City, OK	McClain County	Oklahoma
Oklahoma City, OK	Oklahoma County	Oklahoma
Olean, NY	Cattaraugus County	New York
Olympia-Lacey-Tumwater, WA	Thurston County	Washington
Omaha-Council Bluffs, NE-IA	Harrison County	Iowa
Omaha-Council Bluffs, NE-IA	Mills County	Iowa
Omaha-Council Bluffs, NE-IA	Pottawattamie County	Iowa
Omaha-Council Bluffs, NE-IA	Cass County	Nebraska
Omaha-Council Bluffs, NE-IA	Douglas County	Nebraska
Omaha-Council Bluffs, NE-IA	Sarpy County	Nebraska
Omaha-Council Bluffs, NE-IA	Saunders County	Nebraska
Omaha-Council Bluffs, NE-IA	Washington County	Nebraska
Oneonta, NY	Otsego County	New York
Ontario, OR-ID	Payette County	Idaho
Ontario, OR-ID	Malheur County	Oregon
Opelousas, LA	St. Landry Parish	Louisiana
Orangeburg, SC	Orangeburg County	South Carolina
Orlando-Kissimmee-Sanford, FL	Lake County	Florida
Orlando-Kissimmee-Sanford, FL	Orange County	Florida
Orlando-Kissimmee-Sanford, FL	Osceola County	Florida
Orlando-Kissimmee-Sanford, FL	Seminole County	Florida
Oshkosh-Neenah, WI	Winnebago County	Wisconsin
Oskaloosa, IA	Mahaska County	Iowa
Othello, WA	Adams County	Washington
Ottawa, IL	Bureau County	Illinois
Ottawa, IL	LaSalle County	Illinois
Ottawa, IL	Putnam County	Illinois
Ottawa, KS	Franklin County	Kansas
Ottumwa, IA	Wapello County	Iowa
Owatonna, MN	Steele County	Minnesota
Owensboro, KY	Daviess County	Kentucky
Owensboro, KY	Hancock County	Kentucky
Owensboro, KY	McLean County	Kentucky
Oxford, MS	Lafayette County	Mississippi
Oxnard-Thousand Oaks-Ventura, CA	Ventura County	California
Ozark, AL	Dale County	Alabama
Paducah, KY-IL	Massac County	Illinois
Paducah, KY-IL	Ballard County	Kentucky
Paducah, KY-IL	Livingston County	Kentucky
Paducah, KY-IL	McCracken County	Kentucky
Pahrump, NV	Nye County	Nevada
Palatka, FL	Putnam County	Florida
Palestine, TX	Anderson County	Texas
Palm Bay-Melbourne-Titusville, FL	Brevard County	Florida
Pampa, TX	Gray County	Texas
Pampa, TX	Roberts County	Texas
Panama City, FL	Bay County	Florida
Paragould, AR	Greene County	Arkansas
Paris, TN	Henry County	Tennessee
Paris, TX	Lamar County	Texas
Parkersburg-Vienna, WV	Wirt County	West Virginia
Parkersburg-Vienna, WV	Wood County	West Virginia
Parsons, KS	Labette County	Kansas
Payson, AZ	Gila County	Arizona
Pearsall, TX	Frio County	Texas
Pecos, TX	Loving County	Texas
Pecos, TX	Reeves County	Texas
Pella, IA	Marion County	Iowa
Pensacola-Ferry Pass-Brent, FL	Escambia County	Florida
Pensacola-Ferry Pass-Brent, FL	Santa Rosa County	Florida
Peoria, IL	Fulton County	Illinois
Peoria, IL	Marshall County	Illinois
Peoria, IL	Peoria County	Illinois
Peoria, IL	Stark County	Illinois
Peoria, IL	Tazewell County	Illinois
Peoria, IL	Woodford County	Illinois
Peru, IN	Miami County	Indiana
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	Burlington County	New Jersey
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	Camden County	New Jersey
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	Gloucester County	New Jersey
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	Bucks County	Pennsylvania
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	Chester County	Pennsylvania
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	Montgomery County	Pennsylvania
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	Delaware County	Pennsylvania
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	Philadelphia County	Pennsylvania
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	New Castle County	Delaware
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	Cecil County	Maryland
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	Salem County	New Jersey
Phoenix-Mesa-Chandler, AZ	Maricopa County	Arizona
Phoenix-Mesa-Chandler, AZ	Pinal County	Arizona
Picayune, MS	Pearl River County	Mississippi
Pierre, SD	Hughes County	South Dakota
Pierre, SD	Stanley County	South Dakota
Pine Bluff, AR	Cleveland County	Arkansas
Pine Bluff, AR	Jefferson County	Arkansas
Pine Bluff, AR	Lincoln County	Arkansas
Pinehurst-Southern Pines, NC	Moore County	North Carolina
Pittsburg, KS	Crawford County	Kansas
Pittsburgh, PA	Allegheny County	Pennsylvania
Pittsburgh, PA	Armstrong County	Pennsylvania
Pittsburgh, PA	Beaver County	Pennsylvania
Pittsburgh, PA	Butler County	Pennsylvania
Pittsburgh, PA	Fayette County	Pennsylvania
Pittsburgh, PA	Washington County	Pennsylvania
Pittsburgh, PA	Westmoreland County	Pennsylvania
Pittsfield, MA	Berkshire County	Massachusetts
Plainview, TX	Hale County	Texas
Platteville, WI	Grant County	Wisconsin
Plattsburgh, NY	Clinton County	New York
Plymouth, IN	Marshall County	Indiana
Pocatello, ID	Bannock County	Idaho
Pocatello, ID	Power County	Idaho
Point Pleasant, WV-OH	Gallia County	Ohio
Point Pleasant, WV-OH	Mason County	West Virginia
Ponca City, OK	Kay County	Oklahoma
Ponce, PR	Adjuntas County	Puerto Rico
Ponce, PR	Juana Díaz County	Puerto Rico
Ponce, PR	Ponce County	Puerto Rico
Ponce, PR	Villalba County	Puerto Rico
Pontiac, IL	Livingston County	Illinois
Poplar Bluff, MO	Butler County	Missouri
Poplar Bluff, MO	Ripley County	Missouri
Portales, NM	Roosevelt County	New Mexico
Port Angeles, WA	Clallam County	Washington
Portland-South Portland, ME	Cumberland County	Maine
Portland-South Portland, ME	Sagadahoc County	Maine
Portland-South Portland, ME	York County	Maine
Portland-Vancouver-Hillsboro, OR-WA	Clackamas County	Oregon
Portland-Vancouver-Hillsboro, OR-WA	Columbia County	Oregon
Portland-Vancouver-Hillsboro, OR-WA	Multnomah County	Oregon
Portland-Vancouver-Hillsboro, OR-WA	Washington County	Oregon
Portland-Vancouver-Hillsboro, OR-WA	Yamhill County	Oregon
Portland-Vancouver-Hillsboro, OR-WA	Clark County	Washington
Portland-Vancouver-Hillsboro, OR-WA	Skamania County	Washington
Port Lavaca, TX	Calhoun County	Texas
Port St. Lucie, FL	Martin County	Florida
Port St. Lucie, FL	St. Lucie County	Florida
Portsmouth, OH	Scioto County	Ohio
Pottsville, PA	Schuylkill County	Pennsylvania
Poughkeepsie-Newburgh-Middletown, NY	Dutchess County	New York
Poughkeepsie-Newburgh-Middletown, NY	Orange County	New York
Prescott Valley-Prescott, AZ	Yavapai County	Arizona
Price, UT	Carbon County	Utah
Prineville, OR	Crook County	Oregon
Providence-Warwick, RI-MA	Bristol County	Massachusetts
Providence-Warwick, RI-MA	Bristol County	Rhode Island
Providence-Warwick, RI-MA	Kent County	Rhode Island
Providence-Warwick, RI-MA	Newport County	Rhode Island
Providence-Warwick, RI-MA	Providence County	Rhode Island
Providence-Warwick, RI-MA	Washington County	Rhode Island
Provo-Orem, UT	Juab County	Utah
Provo-Orem, UT	Utah County	Utah
Pueblo, CO	Pueblo County	Colorado
Pullman, WA	Whitman County	Washington
Punta Gorda, FL	Charlotte County	Florida
Quincy, IL-MO	Adams County	Illinois
Quincy, IL-MO	Lewis County	Missouri
Racine, WI	Racine County	Wisconsin
Raleigh-Cary, NC	Franklin County	North Carolina
Raleigh-Cary, NC	Johnston County	North Carolina
Raleigh-Cary, NC	Wake County	North Carolina
Rapid City, SD	Meade County	South Dakota
Rapid City, SD	Pennington County	South Dakota
Raymondville, TX	Willacy County	Texas
Reading, PA	Berks County	Pennsylvania
Red Bluff, CA	Tehama County	California
Redding, CA	Shasta County	California
Red Wing, MN	Goodhue County	Minnesota
Reno, NV	Storey County	Nevada
Reno, NV	Washoe County	Nevada
Rexburg, ID	Fremont County	Idaho
Rexburg, ID	Madison County	Idaho
Richmond, IN	Wayne County	Indiana
Richmond, VA	Amelia County	Virginia
Richmond, VA	Charles City County	Virginia
Richmond, VA	Chesterfield County	Virginia
Richmond, VA	Dinwiddie County	Virginia
Richmond, VA	Goochland County	Virginia
Richmond, VA	Hanover County	Virginia
Richmond, VA	Henrico County	Virginia
Richmond, VA	King and Queen County	Virginia
Richmond, VA	King William County	Virginia
Richmond, VA	New Kent County	Virginia
Richmond, VA	Powhatan County	Virginia
Richmond, VA	Prince George County	Virginia
Richmond, VA	Sussex County	Virginia
Richmond, VA	Colonial Heights city	Virginia
Richmond, VA	Hopewell city	Virginia
Richmond, VA	Petersburg city	Virginia
Richmond, VA	Richmond city	Virginia
Richmond-Berea, KY	Estill County	Kentucky
Richmond-Berea, KY	Madison County	Kentucky
Rio Grande City-Roma, TX	Starr County	Texas
Riverside-San Bernardino-Ontario, CA	Riverside County	California
Riverside-San Bernardino-Ontario, CA	San Bernardino County	California
Riverton, WY	Fremont County	Wyoming
Roanoke, VA	Botetourt County	Virginia
Roanoke, VA	Craig County	Virginia
Roanoke, VA	Franklin County	Virginia
Roanoke, VA	Roanoke County	Virginia
Roanoke, VA	Roanoke city	Virginia
Roanoke, VA	Salem city	Virginia
Roanoke Rapids, NC	Halifax County	North Carolina
Roanoke Rapids, NC	Northampton County	North Carolina
Rochelle, IL	Ogle County	Illinois
Rochester, MN	Dodge County	Minnesota
Rochester, MN	Fillmore County	Minnesota
Rochester, MN	Olmsted County	Minnesota
Rochester, MN	Wabasha County	Minnesota
Rochester, NY	Livingston County	New York
Rochester, NY	Monroe County	New York
Rochester, NY	Ontario County	New York
Rochester, NY	Orleans County	New York
Rochester, NY	Wayne County	New York
Rochester, NY	Yates County	New York
Rockford, IL	Boone County	Illinois
Rockford, IL	Winnebago County	Illinois
Rockingham, NC	Richmond County	North Carolina
Rockport, TX	Aransas County	Texas
Rock Springs, WY	Sweetwater County	Wyoming
Rocky Mount, NC	Edgecombe County	North Carolina
Rocky Mount, NC	Nash County	North Carolina
Rolla, MO	Phelps County	Missouri
Rome, GA	Floyd County	Georgia
Roseburg, OR	Douglas County	Oregon
Roswell, NM	Chaves County	New Mexico
Ruidoso, NM	Lincoln County	New Mexico
Russellville, AR	Pope County	Arkansas
Russellville, AR	Yell County	Arkansas
Ruston, LA	Lincoln Parish	Louisiana
Rutland, VT	Rutland County	Vermont
Sacramento-Roseville-Folsom, CA	El Dorado County	California
Sacramento-Roseville-Folsom, CA	Placer County	California
